,bolt1,nut1,jig1,bin1
x,630.8568976446993,490.7014235244897,681.7155004597423,473.1599447733085
y,229.27247098134578,-152.88163539439412,5.673035138994651,140.7754181639228
z,33.53556492801742,32.2457250520459,83.94631183891862,62.50389351599547
rx,0.9150132065413027,0.20983094515358486,-0.03117597765435762,0.0694016018363682
ry,0.3210588033679319,0.1606393360760241,0.03914061940661423,-0.007122971791332132
rz,0.967805241806601,0.14159444513701278,0.005602265799706716,-0.029100643263133354
qx,0.4225564196333673,0.10452299220545934,-0.015586342193417655,0.03469253958519611
qy,0.14826612061232888,0.08001919859949491,0.019568242397958683,-0.0035606380010890647
qz,0.4469359731167366,0.07053237583503054,0.002800837002797393,-0.01454685758898264
qw,0.7744103987159493,0.9887856471020289,0.9996831023572261,0.9992858142135516
