,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,6041.792,315.00800000000004,-112.008,292.948,3.134983,0.04123,-0.033055,40.7,0,0,6.740284736007956,-3.5035957632196606,0.0376708635987078,-0.0668736084250183,-0.6575151026252308,0.0903309144075484,0.999853211917059,0.01314965597176774,-0.010542369103729871,0.0030821454614353982
125,6043.392,315.0,-112.02800000000002,292.959,3.134923,0.041305,-0.032944,40.6,0,0,6.735824832091548,-3.4808996352592163,0.0405733485388864,-0.069279135268571,-0.6572655397430303,0.0900127555950482,0.9998531710701272,0.013173827628637643,-0.010507168076451724,0.0031122316165351676
250,6044.6,319.86199999999997,-112.02299999999998,292.856,3.134969,0.04116,-0.033515,40.6,0,0,6.913457495853466,-3.093104769735516,0.2213133268476854,-0.1061499846723159,-0.6457967050933201,0.0905915941600119,0.9998519312313302,0.013127372388524912,-0.010689112866895346,0.0030871626570337933
375,6045.6,324.916,-112.013,292.916,3.134966,0.041235,-0.03324,40.6,0,0,6.669259633334838,-3.41248961525779,0.0978903126905417,-0.0739358530543805,-0.6656448176574778,0.0903109265077799,0.9998525426143613,0.01315131315449775,-0.010601422317339763,0.0030896334343340965
500,6047.2,329.42,-112.04799999999999,292.923,3.134894,0.041096,-0.033136,40.7,0,0,6.691842867220406,-4.080449959167981,0.0437551436117965,-0.017069989632224,-0.6606470559834453,0.0898818004144524,0.9998533526950427,0.013107292744939852,-0.010568504292299176,0.0031270910451290236
625,6048.792,337.955,-112.04,293.003,3.134889,0.041037,-0.033041,40.6,0,0,6.676398473414274,-3.957640718095271,-0.0367484108406857,-0.030047121182828,-0.6609080710443127,0.0902701474281673,0.9998539078049912,0.013088503233956106,-0.010538227340038106,0.0031304783520729024
750,6050.384,348.61199999999997,-112.05599999999998,292.911,3.134905,0.041056,-0.033767,40.7,0,0,6.720072351032195,-3.845030342500465,0.0398422079491034,-0.0365560208535402,-0.6588024682463304,0.0901103849271652,0.9998514007840515,0.013094463503866952,-0.010769698683141935,0.0031184877730133956
875,6051.2,353.58099999999996,-112.07000000000001,292.808,3.134865,0.041034,-0.03417,40.6,0,0,6.694147286163018,-3.7744682236902807,-0.0056263377703633,-0.0414654925243379,-0.6575771450466467,0.0909792342116841,0.9998500404403581,0.013087595976040325,-0.010898356350862648,0.003136445732282268
1000,6051.8,354.668,-112.05900000000003,292.81800000000004,3.134913,0.041073,-0.033735,40.6,0,0,6.7453592310304575,-3.5084203519389,0.0744829571128443,-0.0662371498051079,-0.657331001519521,0.0901532670251305,0.9998514526364966,0.013099852759594547,-0.010759465654929566,0.003114549274776662
1125,6052.6,354.688,-112.30099999999999,292.806,3.134924,0.041452,-0.033987,40.6,0,0,6.736102970437135,-3.4950840654443804,0.049403632068761,-0.0674254327195205,-0.6577109421757006,0.0900971752158313,0.9998490242994095,0.013220652799002185,-0.010839774357803901,0.0031051954783936934
