,bolt1,nut1,jig1,bin1
x,630.4184932278386,697.5029198093554,681.5460076504033,473.26289290038324
y,232.41213131154703,-17.838570860352252,5.682333903957412,140.68365066000598
z,10.743867780800802,86.37184786861096,83.58790310144133,62.680923119886785
rx,-0.24660050437872122,-0.12681368771070076,-0.029415913182969138,0.07366919648910483
ry,-0.03387189676394166,-0.3407074629429299,0.038207400046954026,-0.002415554819667994
rz,0.8016800923497902,0.0773668374931287,0.0035944842165262806,-0.03164624231380697
qx,-0.11971185827105739,-0.0630424908355777,-0.014706523819965381,0.036824723575484615
qy,-0.01644306330594334,-0.16937483246439924,0.019101839041828442,-0.0012074536272274788
qz,0.38917444161719017,0.03846113327107853,0.0017970670304207638,-0.015818879273117845
qw,0.9132042217655125,0.9827810293775553,0.9997077615245573,0.9991957990543544
