,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,7940.04,315.001,-112.008,292.908,3.134995,0.041137,-0.033242,40.6,0,0,6.756924622193847,-3.479240780433018,0.0317420636651552,-0.0650350801004349,-0.6584101575415958,0.0875405138732194,0.9998529917283331,0.013119941984190864,-0.01060196687746974,0.003075768613262703
125,7940.64,315.012,-112.003,292.952,3.134958,0.041267,-0.032999,40.7,0,0,6.740873304662424,-3.4850292608770457,0.010195028997639,-0.0662527437726041,-0.6587857962680368,0.087241767730968,0.9998532037821821,0.013161561386302242,-0.010524592633013976,0.0030946951852387342
250,7941.64,319.458,-112.015,292.907,3.134956,0.041187,-0.03359,40.6,0,0,6.553064816840135,-3.544681250586266,-0.1868173798905793,-0.0599566184330138,-0.6711562862178806,0.0872693614054591,0.9998515427476101,0.013136033006889354,-0.010713073268298574,0.0030930831243487396
375,7942.432,324.316,-112.005,292.894,3.134978,0.04115,-0.033334,40.6,0,0,6.768349270821783,-3.4129999284095387,0.1486154704727803,-0.0662769271535469,-0.6560486660995406,0.087669061955826,0.9998525999113114,0.01312415413644066,-0.010631362186734217,0.003083693702148439
500,7942.84,324.978,-112.045,292.925,3.134909,0.041063,-0.032977,40.6,0,0,6.757565752717882,-3.4730143654194627,0.07290803332161,-0.0663388186251983,-0.6575699411195001,0.0872063502660618,0.9998540466471513,0.013096714040972793,-0.010517749285954746,0.0031206465040130357
625,7943.44,329.87699999999995,-112.042,292.833,3.134905,0.04109,-0.033455,40.7,0,0,6.7309737033727925,-3.754684178200307,-0.1111740972438493,-0.0414064589911033,-0.658879798708679,0.0866475766464494,0.9998523208195822,0.01310531957506739,-0.010670198743827682,0.003119937386859997
750,7944.24,330.03,-111.939,292.96199999999993,3.135094,0.041177,-0.032718,40.6,0,0,6.688038829218621,-3.498280281502387,0.0303809826739686,-0.0651963187021547,-0.6614490835827836,0.0871130261041644,0.9998547342204716,0.013132307481369412,-0.010434534720242961,0.003028769105921958
875,7944.84,329.959,-101.654,292.921,3.134794,0.040772,-0.032872,40.6,0,0,6.5545178869985685,-3.73355663088362,0.0453910628125946,-0.0481758114269355,-0.6721416068427517,0.0864917467821646,0.9998554102686941,0.01300439671234384,-0.010484659293833187,0.0031805883200934242
1000,7945.24,329.90599999999995,-84.698,292.942,3.135032,0.041083,-0.033022,40.6,0,0,7.135391569682388,-3.1541157675819416,0.0413645194909812,-0.0944005460678523,-0.629903706881039,0.0881307266317344,0.9998540142458107,0.01310257836834222,-0.010531688116237782,0.003058787678484589
1125,7946.04,330.033,-62.580999999999996,292.96899999999994,3.135087,0.040972,-0.032681,40.6,0,0,6.74704806022622,-3.775220125329396,0.0325678969981737,-0.0417098728298948,-0.6597391370989824,0.0866694011853942,0.9998556977073375,0.01306696995855778,-0.010422767871122396,0.003033804242201143
1250,7947.032,330.012,-49.389,292.95099999999996,3.134996,0.040936,-0.032655,40.6,0,0,6.589416755462,-2.955534269909394,-0.0088731508005915,-0.1139354107088519,-0.6725897421055732,0.0870805871346256,0.9998557857565445,0.013055868794004812,-0.010414779056777094,0.003079668228063831
1375,7948.44,330.041,-12.096999999999996,292.95799999999997,3.134983,0.041275,-0.032638,40.6,0,0,6.745740564380421,-3.740715708586481,0.0175249513199561,-0.0447649211934188,-0.6556899791483616,0.0868743836730625,0.9998544103501316,0.013164023788072113,-0.010409386030165902,0.003084033653019196
1500,7949.84,329.978,12.08300000000001,292.918,3.134954,0.040869,-0.0328,40.6,0,0,6.68143676384373,-3.364262666004323,-0.0337351043880083,-0.0764376145788718,-0.6601166962608479,0.087402636013349,0.9998555142101031,0.013034671325401492,-0.01046116174785703,0.003100345460420427
1625,7950.84,330.007,37.888000000000005,292.997,3.135008,0.040965,-0.032522,40.6,0,0,6.775022608174342,-3.695814707509665,-0.0509943986132972,-0.0485373102973709,-0.6542937455578065,0.086268104825151,0.9998561237700315,0.013065072277403868,-0.010372324682185489,0.003074170886709121
1750,7952.032,330.013,65.23099999999998,292.938,3.134861,0.040811,-0.032945,40.6,0,0,7.074897089810414,-3.2132178106181364,-0.0408863523885465,-0.089788453571141,-0.6315000793125787,0.0874069206237532,0.9998551180325921,0.013016553914839643,-0.010507715290593028,0.0031464563536304536
1875,7952.84,329.96799999999996,87.313,292.964,3.134952,0.040734,-0.032617,40.6,0,0,6.663559289376677,-3.6808693847812055,-0.0183034981619522,-0.0486712930670172,-0.6651206950133314,0.0869088048083852,0.9998566742631985,0.012991638075937725,-0.01040281482601416,0.0031031782313889504
2000,7953.848,330.026,101.661,293.006,3.135036,0.040795,-0.032467,40.6,0,0,6.400208505266444,-3.655441655949438,0.0764718831370446,-0.0561194731033407,-0.683496027536836,0.0872932077632524,0.9998570534749501,0.013010749636211702,-0.010354700537783684,0.0030615661134863583
2125,7954.44,329.92,126.79099999999998,292.927,3.134759,0.041061,-0.033027,40.6,0,0,7.074447586828452,-2.8533121057639805,0.1894078448214903,-0.1251657981910343,-0.6302484128570374,0.08697585473517,0.999853637658777,0.01309669745454341,-0.010534196118730797,0.003195385489602518
2250,7954.848,329.938,136.148,292.9169999999999,3.134701,0.041206,-0.032927,40.6,0,0,6.850354642008737,-3.615270168228223,-0.1093781219141041,-0.0568005781896223,-0.6484112201544391,0.0878092256313809,0.9998532694815636,0.013143184572390575,-0.010502490860920847,0.0032239559612311265
2375,7955.448,329.945,142.73799999999997,292.937,3.134884,0.040975,-0.032814,40.7,0,0,6.600397368208509,-3.89583080497156,0.0410837973589946,-0.037755054274069,-0.6678157576596078,0.0873257625046145,0.999854913361342,0.0130687626958385,-0.010465854279469057,0.0031345754073589575
2500,7955.84,329.926,155.682,292.954,3.134754,0.041098,-0.032834,40.6,0,0,6.579042859858221,-3.207484729699818,0.1593415208755709,-0.0888466329867044,-0.6697536779046207,0.0866485075606625,0.9998541186354798,0.013108526081370645,-0.010472659140486732,0.0031986563067493944
2625,7956.448,329.92,180.18700000000004,292.936,3.134886,0.041387,-0.03275,40.6,0,0,6.5713457616765965,-3.988719473900724,-0.0337331780053092,-0.0252763470717413,-0.6727884217710386,0.0862068830694829,0.9998534117973723,0.013200139703344188,-0.010445419462259216,0.0031312044366141423
